Nr identyfikacyjny księgarni,Nazwa księgarni,Ulica i numer domu,Kod pocztowy,Miasto
41,Gift Digest,Husa Jana,80-315,Gdańsk
42,Cross Emerald,Podchorążych,85-677,Bydgoszcz
43,Thoughts Advisors,Urbanistów,31-723,Kraków
44,Building Children,Różana,44-330,Jastrzębie-Zdrój
45,Ready Nothing,Dolna Wilda,61-492,Poznań
46,Lights Leads,Spokojna,20-074,Lublin
47,Illusion Ability,Poczta Olecko 001,19-400,Olecko
48,Force Speak,Mehoffera Józefa,31-322,Kraków
49,Sex Kick,Karczówkowska,25-019,Kielce
50,Technology Shard,Malczewskiego Jacka,41-902,Bytom
51,Technology Person,Leszczyńskiego Stanisława,02-496,Warszawa
52,Predator Analysis,28 Czerwca 1956 r.,61-526,Poznań
53,Icon Consort,Niekłańska,03-915,Warszawa
54,Carbon Boy,Szańcowa,01-458,Warszawa
55,Safety Illusion,Pl. Daszyńskiego Ignacego,10-586,Olsztyn
56,Enterprise Woman,Pl. Konstytucji,00-550,Warszawa
57,Voyages Ability,Osiedle Złotego Wieku,31-618,Kraków
58,Enterprise End,Filarecka,30-110,Kraków
59,Darkness Delivery,Małopolska,60-619,Poznań
60,Something Learn,Węgierska,65-941,Zielona Góra
61,Solution Tower,Sujkowskiego Bogusława,85-342,Bydgoszcz
62,Legend Mill,Urbanistów,02-397,Warszawa
63,Vital Wings,Skrytki Pocztowe Poczta Rumia 001 Pomorska 11 A,84-230,Rumia
64,Male Drop,Lwowska,00-658,Warszawa
65,Flight Mentor,Modra,60-387,Poznań
66,Male Speak,Jesienna,42-400,Zawiercie
67,Dreamer Ways,Bławatna,10-862,Olsztyn
68,Sonic Wizards,Bruna Juliana,02-594,Warszawa
69,Person Platform,Łowiecka,42-400,Zawiercie
70,Talent Secret,Górna,10-040,Olsztyn
71,Advanced Emerald,Wierzyńskiego Kazimierza,45-524,Opole
72,Concept Dragon,Rozbrat,00-429,Warszawa
73,Corporate Child,Poczta Sadkowice,96-206,Sadkowice
74,Techno Eye,Poczta Stary Chwalim,78-461,Stary Chwalim
75,Omega Mists,Zachodnia,90-725,Łódź
76,Door Drop,Przy Agorze,01-930,Warszawa
77,Vital Window,Skrytki Pocztowe Poczta Warszawa 131 Samolotowa 4,03-996,Warszawa
78,Windows Platform,Nowa Niepodległości,10-566,Olsztyn
79,Rocket Girl,Dokerów,15-591,Białystok
80,Death Summit,Marszałka Piłsudskiego Józefa,31-110,Kraków
81,Cycle Name,Podleśna,44-336,Jastrzębie-Zdrój
82,Hunter Answers,Poczta Łoniów,27-670,Łoniów
83,Solution Birch,Łużycka,75-109,Koszalin
84,Serpent Trainer,Pl. Świętego Maksymiliana Kolbego,31-610,Kraków
85,Positive Witches,Kopernika Mikołaja,00-359,Warszawa
86,Eyes Innovation,Kanałowa,60-709,Poznań
87,Waves Sage,Sośnia Góra,43-195,Mikołów
88,Town Emerald,Poczta Sochocin Nadrzeczna 13,09-110,Sochocin
89,Alien Advantage,Podróżnicza,03-111,Warszawa
90,Silk Advisors,Poczta Radków Kłodzki,57-420,Radków
91,Time Revolution,Ogród Dendrologiczny imienia Profesora S. Kownasa,71-438,Szczecin
92,Switch Twins,Fondamińskiego Edwarda,00-215,Warszawa
93,Names Options,Zajęcza,00-351,Warszawa
94,Technology Darkness,Bromboszcza Wincentego,43-190,Mikołów
95,Legacy Coaching,Kolejowa,75-108,Koszalin
96,Lords Status,Gdyńska,91-349,Łódź
97,Omega Flying,Księdza Góreckiego Mariana,80-544,Gdańsk
98,Eye Coaching,"""Generała Chruściela Antoniego """"Montera""""""",04-454,Warszawa
99,Financial Girl,Zadole,40-605,Katowice
100,Birth Secure,Bohaterów Getta,15-450,Białystok
